recommended_action,number_of_cardholders,average_score,estimated_opportunity_value
Monitor only,71999,0.4551849195040903,130152673.68
Offer SME digital business card package,828,0.9562069036835749,50821970.98
Relationship manager review,875,0.8959266164285714,47397328.68
Offer e-commerce acquiring / business card,1098,0.9234268454007286,46788518.29
Offer POS acquiring / business card,1993,0.8810228035624686,29085593.47
Business card offer review,2059,0.8952391185041282,25046067.11
Offer SME package for recurring expenses,1148,0.9049367650261323,13910070.72
